X.SampleID	i.TwinID
Plate8.11	NA91302
Plate8.15	NA4172
Plate8.16	NA64732
Plate8.18	NA2011
Plate8.19	NA30802
Plate8.20	NA4461
Plate8.21	NA30412
Plate8.24	NA71381
Plate8.26	NA66651
Plate8.27	NA64651
Plate8.28	NA64652
Plate8.29	NA77462
Plate8.34	NA4632
Plate8.42	NA30411
Plate8.47	NA20892
Plate8.48	NA20891
Plate8.57	NA51872
Plate8.84	NA59331
Plate8.9	NA4171
Plate9.1	NA57111
Plate9.24	NA17441
Plate9.25	NA50961
Plate9.27	NA17442
Plate9.30	NA32981
Plate9.35	NA30241
Plate9.38	NA50962
Plate9.45	NA60341
Plate9.46	NA91371
Plate9.50	NA9711
Plate9.53	NA7412
Plate9.6	NA51671
Plate9.64	NA66751
Plate9.68	NA92452
Plate9.70	NA60342
Plate9.75	NA94192
Plate9.81	NA32982
Plate9.92	NA50932
PlateRedo1.17	A1962
PlateRedo1.20	A4761
PlateRedo1.25	A5801
PlateRedo1.29	A5612
PlateRedo1.33	A3861
PlateRedo1.37	A7252
PlateRedo1.46	A5281
PlateRedo1.48	A5452
PlateRedo1.50	A5542
PlateRedo1.59	A7501
PlateRedo1.6	A1001
PlateRedo1.62	A5741
PlateRedo1.70	A8682
PlateRedo1.75	A4711
PlateRedo1.88	A4352
PlateRedo1.9	A2832
PlateRedo1.91	A5682
PlateRedo3.18	A2272
PlateRedo3.3	A1491
PlateRedo3.37	A3281
PlateRedo3.9	A1702
